,[1 1 3],[1 2 3],[1 3 1],[1 3 2],[1 3 3],[2 1 3],[2 3 1],[3 1 1],[3 1 2],[3 1 3],[3 2 1],[3 3 1]
[1 1 3],0.017699115044247787,0.39823008849557523,0.017699115044247787,0.25663716814159293,0.22123893805309736,0.0,0.07964601769911504,0.0,0.0,0.0,0.0,0.008849557522123894
[1 2 3],0.06153846153846154,0.36923076923076925,0.07384615384615385,0.16923076923076924,0.14461538461538462,0.0,0.15384615384615385,0.0,0.0,0.0,0.0,0.027692307692307693
[1 3 1],0.0,0.0,0.0,0.0,0.0,0.17647058823529413,0.0,0.17647058823529413,0.19607843137254902,0.0392156862745098,0.4117647058823529,0.0
[1 3 2],0.05128205128205128,0.0,0.0,0.0,0.0,0.1987179487179487,0.0,0.07051282051282051,0.1282051282051282,0.05128205128205128,0.42948717948717946,0.07051282051282051
[1 3 3],0.2616822429906542,0.1308411214953271,0.0,0.037383177570093455,0.0,0.08411214953271028,0.08411214953271028,0.009345794392523364,0.018691588785046728,0.009345794392523364,0.056074766355140186,0.308411214953271
[2 1 3],0.006896551724137931,0.3724137931034483,0.08275862068965517,0.2689655172413793,0.12413793103448276,0.0,0.11724137931034483,0.0,0.0,0.0,0.0,0.027586206896551724
[2 3 1],0.013793103448275862,0.0,0.0,0.0,0.0,0.10344827586206896,0.0,0.15862068965517243,0.2896551724137931,0.07586206896551724,0.3448275862068966,0.013793103448275862
[3 1 1],0.32989690721649484,0.09278350515463918,0.0,0.010309278350515464,0.0,0.1134020618556701,0.08247422680412371,0.0,0.020618556701030927,0.0,0.061855670103092786,0.28865979381443296
[3 1 2],0.07017543859649122,0.39766081871345027,0.05847953216374269,0.14035087719298245,0.05263157894736842,0.0,0.23391812865497075,0.0,0.0,0.0,0.0,0.04678362573099415
[3 1 3],0.0,0.3333333333333333,0.08888888888888889,0.08888888888888889,0.17777777777777778,0.0,0.26666666666666666,0.0,0.0,0.0,0.0,0.044444444444444446
[3 2 1],0.025362318840579712,0.0,0.0,0.0,0.0,0.20652173913043478,0.0,0.12318840579710146,0.2391304347826087,0.057971014492753624,0.3188405797101449,0.028985507246376812
[3 3 1],0.009345794392523364,0.0,0.0,0.0,0.0,0.12149532710280374,0.0,0.17757009345794392,0.27102803738317754,0.06542056074766354,0.34579439252336447,0.009345794392523364
