,Date,Open_adjusted,High_adjusted,Low_adjusted,Close_adjusted
0,1980-03-17,1155.2282147315855,1234.8991260923844,1155.2282147315855,1155.2282147315855
1,1980-03-18,1155.2282147315855,1155.2282147315855,1155.2282147315855,1155.2282147315855
2,1980-03-19,1155.2282147315855,1234.8991260923844,1155.2282147315855,1155.2282147315855
3,1980-03-20,1155.2282147315855,1155.2282147315855,1155.2282147315855,1155.2282147315855
4,1980-03-21,1155.2282147315855,1155.2282147315855,1155.2282147315855,1155.2282147315855
5,1980-03-24,1155.2282147315855,1155.2282147315855,1075.5573033707865,1075.5573033707865
6,1980-03-25,1075.5573033707865,1075.5573033707865,1075.5573033707865,1075.5573033707865
7,1980-03-26,1075.5573033707865,1075.5573033707865,1075.5573033707865,1075.5573033707865
8,1980-03-27,1075.5573033707865,1075.5573033707865,1075.5573033707865,1075.5573033707865
9,1980-03-28,1075.5573033707865,1075.5573033707865,1075.5573033707865,1075.5573033707865
10,1980-03-31,1075.5573033707865,1115.392759051186,1035.721847690387,1035.721847690387
11,1980-04-01,1024.2138271604938,1102.9995061728396,1024.2138271604938,1024.2138271604938
12,1980-04-02,1024.2138271604938,1024.2138271604938,1024.2138271604938,1024.2138271604938
13,1980-04-03,1024.2138271604938,1102.9995061728396,1024.2138271604938,1024.2138271604938
14,1980-04-07,1043.9102469135803,1122.695925925926,1043.9102469135803,1043.9102469135803
15,1980-04-08,1043.9102469135803,1122.695925925926,1043.9102469135803,1043.9102469135803
16,1980-04-09,1043.9102469135803,1122.695925925926,1043.9102469135803,1043.9102469135803
17,1980-04-10,1043.9102469135803,1102.9995061728396,1024.2138271604938,1024.2138271604938
18,1980-04-11,1024.2138271604938,1024.2138271604938,1024.2138271604938,1024.2138271604938
19,1980-04-14,1024.2138271604938,1083.303086419753,1004.5174074074074,1004.5174074074074
20,1980-04-15,1004.5174074074074,1043.9102469135803,965.1245679012346,965.1245679012346
21,1980-04-16,965.1245679012346,965.1245679012346,965.1245679012346,965.1245679012346
22,1980-04-17,1004.5174074074074,1083.303086419753,1004.5174074074074,1004.5174074074074
23,1980-04-18,1004.5174074074074,1083.303086419753,1004.5174074074074,1004.5174074074074
24,1980-04-21,1024.2138271604938,1102.9995061728396,1024.2138271604938,1024.2138271604938
25,1980-04-22,1024.2138271604938,1024.2138271604938,1024.2138271604938,1024.2138271604938
26,1980-04-23,1083.303086419753,1162.0887654320989,1083.303086419753,1083.303086419753
27,1980-04-24,1083.303086419753,1162.0887654320989,1083.303086419753,1083.303086419753
28,1980-04-25,1083.303086419753,1083.303086419753,1083.303086419753,1083.303086419753
29,1980-04-28,1083.303086419753,1083.303086419753,1083.303086419753,1083.303086419753
30,1980-04-29,1083.303086419753,1083.303086419753,1083.303086419753,1083.303086419753
31,1980-04-30,1083.303086419753,1083.303086419753,1083.303086419753,1083.303086419753
32,1980-05-01,1072.7084352078239,1072.7084352078239,1072.7084352078239,1072.7084352078239
33,1980-05-02,1072.7084352078239,1072.7084352078239,1072.7084352078239,1072.7084352078239
34,1980-05-05,1111.7160146699266,1189.731173594132,1111.7160146699266,1111.7160146699266
35,1980-05-06,1111.7160146699266,1111.7160146699266,1111.7160146699266,1111.7160146699266
36,1980-05-07,1111.7160146699266,1111.7160146699266,1111.7160146699266,1111.7160146699266
37,1980-05-08,1111.7160146699266,1111.7160146699266,1111.7160146699266,1111.7160146699266
38,1980-05-09,1111.7160146699266,1111.7160146699266,1111.7160146699266,1111.7160146699266
39,1980-05-12,1111.7160146699266,1111.7160146699266,1111.7160146699266,1111.7160146699266
40,1980-05-13,1189.731173594132,1267.7463325183373,1189.731173594132,1189.731173594132
41,1980-05-14,1189.731173594132,1189.731173594132,1189.731173594132,1189.731173594132
42,1980-05-15,1209.2349633251833,1287.2501222493888,1209.2349633251833,1209.2349633251833
43,1980-05-16,1209.2349633251833,1287.2501222493888,1209.2349633251833,1209.2349633251833
44,1980-05-19,1209.2349633251833,1209.2349633251833,1209.2349633251833,1209.2349633251833
45,1980-05-20,1209.2349633251833,1287.2501222493888,1209.2349633251833,1209.2349633251833
46,1980-05-21,1228.7387530562346,1306.75391198044,1228.7387530562346,1228.7387530562346
47,1980-05-22,1228.7387530562346,1306.75391198044,1228.7387530562346,1228.7387530562346
48,1980-05-23,1228.7387530562346,1228.7387530562346,1228.7387530562346,1228.7387530562346
49,1980-05-27,1228.7387530562346,1228.7387530562346,1228.7387530562346,1228.7387530562346
50,1980-05-28,1248.242542787286,1326.2577017114913,1248.242542787286,1248.242542787286
51,1980-05-29,1248.242542787286,1248.242542787286,1248.242542787286,1248.242542787286
52,1980-05-30,1248.242542787286,1326.2577017114913,1248.242542787286,1248.242542787286
53,1980-06-02,1234.6582829504232,1273.2413542926238,1196.0752116082224,1196.0752116082224
54,1980-06-03,1196.0752116082224,1273.2413542926238,1196.0752116082224,1196.0752116082224
55,1980-06-04,1196.0752116082224,1196.0752116082224,1196.0752116082224,1196.0752116082224
56,1980-06-05,1196.0752116082224,1196.0752116082224,1196.0752116082224,1196.0752116082224
57,1980-06-06,1196.0752116082224,1196.0752116082224,1196.0752116082224,1196.0752116082224
58,1980-06-09,1196.0752116082224,1273.2413542926238,1196.0752116082224,1196.0752116082224
59,1980-06-10,1215.3667472793227,1292.5328899637243,1215.3667472793227,1215.3667472793227
60,1980-06-11,1215.3667472793227,1215.3667472793227,1215.3667472793227,1215.3667472793227
61,1980-06-12,1234.6582829504232,1311.8244256348246,1234.6582829504232,1234.6582829504232
62,1980-06-13,1234.6582829504232,1311.8244256348246,1234.6582829504232,1234.6582829504232
63,1980-06-16,1234.6582829504232,1234.6582829504232,1234.6582829504232,1234.6582829504232
64,1980-06-17,1234.6582829504232,1311.8244256348246,1234.6582829504232,1234.6582829504232
65,1980-06-18,1234.6582829504232,1234.6582829504232,1234.6582829504232,1234.6582829504232
66,1980-06-19,1234.6582829504232,1311.8244256348246,1234.6582829504232,1234.6582829504232
67,1980-06-20,1234.6582829504232,1273.2413542926238,1196.0752116082224,1196.0752116082224
68,1980-06-23,1196.0752116082224,1273.2413542926238,1196.0752116082224,1196.0752116082224
69,1980-06-24,1196.0752116082224,1196.0752116082224,1196.0752116082224,1196.0752116082224
70,1980-06-25,1196.0752116082224,1196.0752116082224,1196.0752116082224,1196.0752116082224
71,1980-06-26,1196.0752116082224,1196.0752116082224,1196.0752116082224,1196.0752116082224
72,1980-06-27,1196.0752116082224,1253.9498186215235,1176.783675937122,1176.783675937122
73,1980-06-30,1176.783675937122,1176.783675937122,1176.783675937122,1176.783675937122
74,1980-07-01,1176.783675937122,1176.783675937122,1176.783675937122,1176.783675937122
75,1980-07-02,1176.783675937122,1176.783675937122,1176.783675937122,1176.783675937122
76,1980-07-03,1176.783675937122,1253.9498186215235,1176.783675937122,1176.783675937122
77,1980-07-07,1196.0752116082224,1253.9498186215235,1196.0752116082224,1196.0752116082224
78,1980-07-08,1196.0752116082224,1196.0752116082224,1196.0752116082224,1196.0752116082224
79,1980-07-09,1196.0752116082224,1196.0752116082224,1196.0752116082224,1196.0752116082224
80,1980-07-10,1215.3667472793227,1273.2413542926238,1215.3667472793227,1215.3667472793227
81,1980-07-11,1234.6582829504232,1292.5328899637243,1234.6582829504232,1234.6582829504232
82,1980-07-14,1253.9498186215235,1311.8244256348246,1253.9498186215235,1253.9498186215235
83,1980-07-15,1292.5328899637243,1331.1159613059249,1292.5328899637243,1292.5328899637243
84,1980-07-16,1292.5328899637243,1331.1159613059249,1273.2413542926238,1273.2413542926238
85,1980-07-17,1273.2413542926238,1331.1159613059249,1253.9498186215235,1253.9498186215235
86,1980-07-18,1253.9498186215235,1331.1159613059249,1253.9498186215235,1253.9498186215235
87,1980-07-21,1253.9498186215235,1253.9498186215235,1253.9498186215235,1253.9498186215235
88,1980-07-22,1253.9498186215235,1253.9498186215235,1253.9498186215235,1253.9498186215235
89,1980-07-23,1253.9498186215235,1253.9498186215235,1253.9498186215235,1253.9498186215235
90,1980-07-24,1311.8244256348246,1388.990568319226,1311.8244256348246,1311.8244256348246
91,1980-07-25,1311.8244256348246,1311.8244256348246,1311.8244256348246,1311.8244256348246
92,1980-07-28,1311.8244256348246,1311.8244256348246,1311.8244256348246,1311.8244256348246
93,1980-07-29,1311.8244256348246,1311.8244256348246,1311.8244256348246,1311.8244256348246
94,1980-07-30,1311.8244256348246,1311.8244256348246,1311.8244256348246,1311.8244256348246
